date,disconnected_anchors,failing_measurements_to_connected_anchors,succeeding_measurements_to_nonconnected_anchors,failing_measurements_to_nonconnected_anchors,measurements_to_unknown_anchors
2025-06-23 00:00:00+00:00,230,626,262,1661,6
2025-06-30 00:00:00+00:00,223,-1,-1,-1,-1
2025-07-07 00:00:00+00:00,223,682,210,1629,18
2025-07-14 00:00:00+00:00,221,689,200,1619,30
2025-07-21 00:00:00+00:00,226,681,256,1630,30
2025-07-28 00:00:00+00:00,230,706,283,1657,30
2025-08-04 00:00:00+00:00,235,707,319,1708,30
2025-08-11 00:00:00+00:00,235,714,318,1709,18
2025-08-18 00:00:00+00:00,239,706,325,1739,6
2025-08-25 00:00:00+00:00,247,708,365,1794,6
2025-09-01 00:00:00+00:00,250,719,356,1821,6
2025-09-08 00:00:00+00:00,243,763,303,1821,6
2025-09-15 00:00:00+00:00,244,805,307,1806,24
2025-09-22 00:00:00+00:00,169,860,246,1727,6
2025-09-29 00:00:00+00:00,166,901,203,1728,6
2025-10-06 00:00:00+00:00,160,951,185,1681,6
2025-10-13 00:00:00+00:00,185,945,424,1721,6
2025-10-20 00:00:00+00:00,179,977,299,1766,6
2025-10-27 00:00:00+00:00,174,986,243,1777,6
2025-11-03 00:00:00+00:00,172,1006,224,1772,6
